CustomerID,VehicleType,Model,km,StartingStation,DestinationStation,City,Review
509,Bike,new216,69.45,Rosemont Station,Downtown Anaheim,Louisville,3
509,Car,series705,33.09,Downtown Station,Columbus Commons,Tampa,0
509,Car,until703,53.69,Kings Avenue Station,Shrewsbury-Lansdowne I-44,Fresno,0
510,Bicycle,across985,47.67,Quarry Market,Charlotte Gateway Station,Columbus,3
510,Bicycle,down542,64.79,Fayette Mall Station,30th Street Station,Sacramento,3
510,Bike,half517,30.07,Denver Avenue Station,Stockton Station,Dallas,1
510,Bike,inside924,40.82,Old Town Transit Center,Los Ranchos/Journal Center,Pittsburgh,2
510,Car,recently555,9.23,Dimond Center,Lodi Station,Arlington,3
511,Car,sort931,29.44,Union Station,Okeechobee Station,Sacramento,3
511,Car,treatment984,3.26,Government Center,Wood Street Station,Charlotte,5
512,Bicycle,environment918,71.93,Glory Road Transit Center,Iliff Station,Irvine,4
512,Bike,nothing156,98.01,Government Center,Sycamore/Main Street,Milwaukee,5
512,Bike,peace145,90.49,Denver Avenue Station,West 25th Street,Kansas City,0
512,Bike,probably374,54.43,Newtown Road,Station Square,Washington DC,5
512,Car,state345,57.69,Benson Station,Hamburg Pavilion,Milwaukee,5
513,Bicycle,both565,38.72,Pioneer Courthouse Square,US Bank Stadium,Pittsburgh,3
513,Bicycle,doctor366,35.85,Bonneville Transit Center,Anthem Parkway,Plano,2
513,Car,seat130,55.06,Riverfront Transit Center,Los Ranchos/Journal Center,Fresno,0
513,Car,writer502,67,Carondelet Street Station,French Camp Station,Tucson,2
513,Car,writer502,2.26,Linden Station,Transit Center Station,Philadelphia,2
514,Bicycle,election652,54.73,Nine Mile Station,Water Street,Virginia Beach,4
514,Bike,hot339,56.64,Cincinnati Union Terminal,French Camp Station,Wichita,3
514,Bike,prevent494,20.03,Grand Central,Amtrak Station,Cleveland,4
514,Car,world750,95.04,Pioneer Courthouse Square,Durham Station,Charlotte,5
515,Bicycle,election652,68.01,Downtown Transit Center,Alkali Flat/La Valentina,Tucson,1
515,Bike,operation269,68.81,Charles Center Station,Transit Center Station,Tulsa,5
515,Bike,particularly341,36.7,Hermitage Station,City Hall Station,San Antonio,2
515,Bike,prevent494,38.27,Texas & Pacific Station,Third Ward Station,Henderson,3
516,Bicycle,argue857,78.94,Jefferson/1st Ave,Eagle River,Aurora,3
516,Bicycle,discuss378,49.7,Powell Street Station,Arena District Station,Washington DC,4
516,Bike,herself131,69.41,Ala Moana Station,Lakeline Station,Arlington,4
516,Bike,morning188,66.95,Montgomery Street Station,Lynx Central Station,Anaheim,1
516,Bike,peace145,84.45,West End Station,13th Street Station,Virginia Beach,4
516,Car,visit419,83.04,Museum District,Five Points Station,Honolulu,5
517,Bicycle,already175,14.4,South Station,Santa Fe Depot,San Francisco,1
517,Bicycle,ball282,53.45,Anaheim Canyon,12th Street Station,Las Vegas,0
517,Bike,off105,68.68,Alkali Flat/La Valentina,Florida Station,Anaheim,4
517,Car,rock127,23.4,Milwaukee Intermodal Station,Downtown Station,Fresno,4
517,Car,series705,29.2,Court House Station,Centro Ybor,Los Angeles,2
518,Bike,meet406,58.48,Goose Hollow,Dobson Station,Dallas,3
519,Bicycle,control593,22.13,7th Street/Metro Center,Diridon Station,Pittsburgh,0
519,Bike,half517,86.92,Irvine Station,Benson Station,Henderson,2
519,Bike,operation269,40.95,Midtown Station,Downtown Transit Center,Virginia Beach,2
519,Car,visit419,72.87,Denver Avenue Station,Country Club Station,Charlotte,2
519,Car,way160,87.4,Civic Center,South Main Street,Jacksonville,5
521,Bicycle,both565,71.58,Fulton Street,Peoria Station,Washington DC,4
521,Bike,industry781,10.66,Anaheim Canyon,Ballston Metro Station,Omaha,5
521,Car,write753,40.77,Downtown Transit Center,Highland Avenue,San Diego,2
522,Bicycle,course154,63.01,Aragona Village,Downtown Transit Center,Portland,2
522,Bike,message730,85.11,Texas & Pacific Station,Back Bay Station,Minneapolis,1
522,Car,than685,64.86,Rosa Parks Transit Center,Lake Merritt Station,Aurora,5
523,Bicycle,boy521,98.8,Old Town Wichita,Kings Avenue Station,Albuquerque,0
523,Car,why108,3,Pikes Peak Station,Stockyards Station,Colorado Springs,0
524,Car,single245,58.09,Los Ranchos/Journal Center,Stockton Station,Anchorage,3
524,Car,such610,64.46,UK Campus Station,Sun Metro Terminal,El Paso,1
525,Bicycle,black461,39.38,UK Campus Station,Rosa Parks Station,Mesa,4
525,Bike,medical150,37.72,Horizon Ridge,Sunport Station,Mesa,4
526,Car,size977,29.21,Ogilvie Transportation Center,Anthem Parkway,Washington DC,0
526,Car,war143,43.22,West 25th Street,Texas A&M University Station,Lexington,5
527,Bike,management684,94.96,Downtown Anaheim,River Market,Portland,1
527,Bike,nice365,85.08,Tower District,Old Town Wichita,Cleveland,0
528,Bicycle,every622,56.87,Nine Mile Station,Donelson Station,Phoenix,3
528,Car,reduce598,66.68,Shrewsbury-Lansdowne I-44,Montgomery Street Station,Albuquerque,4
528,Car,than685,62.01,Eastside Terminal,Liberty Street,Anchorage,1
529,Bike,industry317,40.05,Ballston Metro Station,Pioneer Square Station,Phoenix,1
529,Car,Republican575,71.73,East 55th Street,Crown Center,Dallas,2
529,Car,single245,66.48,Disneyland Resort,Highland Avenue,Jacksonville,1
530,Bicycle,because502,80.33,Benson Station,Downtown Wichita,Pittsburgh,2
530,Bike,rate749,60.18,Riverplace Station,Civic Center Station,Oakland,5
530,Car,throw562,56.88,French Camp Station,Downtown Anaheim,El Paso,3
532,Bicycle,effect321,54.78,Millard Station,Amtrak Station,Philadelphia,5
532,Bike,party933,12.42,Back Bay Station,Alma School Station,Greensboro,2
532,Car,visit419,17.01,Friendly Center,Union Passenger Terminal,Albuquerque,4
532,Car,visit419,1.34,Alton Parkway,Parker Road Station,Washington DC,2
533,Bicycle,already175,89.66,Highland Avenue,Dobson Station,San Jose,2
533,Bike,meeting760,41.54,Eastside Terminal,Amtrak Station,Albuquerque,2
533,Car,visit155,21.45,UK Campus Station,Johns Hopkins Hospital Station,Baltimore,0
533,Car,war143,98.04,Fountain Square Station,Airport Station,Miami,0
533,Car,why108,81.72,New Center,Brundage Station,Raleigh,0
534,Bike,provide514,18.95,Ala Moana Station,Pearlridge Station,Cleveland,5
534,Car,trip382,70.54,Main Street Square,Riverplace Station,Arlington,1
535,Bike,himself386,14.63,Charles Center Station,Denver Avenue Station,Stockton,2
536,Bike,rate749,52.68,LaSalle Street,Downtown Transit Center,Henderson,5
536,Car,side812,37.19,Capital Boulevard,University of Arizona,Orlando,1
537,Bicycle,court168,32.06,Military Highway,Station Square,Omaha,0
537,Bike,local516,27.49,Citadel Mall,Disneyland Resort,Columbus,5
537,Car,receive117,2.55,Shrewsbury-Lansdowne I-44,El Paso Streetcar,Lexington,4
537,Car,rock127,90.58,Goose Hollow,Riverfront Transit Center,Los Angeles,3
537,Car,sister161,34.1,Linden Station,Capital Boulevard,New York,2
537,Car,town838,69.83,Penn Station,Green Valley Station,Tucson,0
538,Bicycle,down542,6.64,ARTIC Station,Shrewsbury-Lansdowne I-44,Tampa,0
538,Bike,meeting760,81.41,Alvarado Transportation Center,Grand Central,Bakersfield,2
538,Bike,prevent494,14.88,Bonneville Transit Center,Tower District,Greensboro,2
538,Car,receive117,48.82,12th Street Station,City College Station,Kansas City,1
538,Car,teach624,18.22,Fulton Mall,Central Station,Houston,4
539,Bicycle,both565,1.19,Pioneer Courthouse Square,Church Street Station,Raleigh,1
539,Bike,interview220,83.57,Aragona Village,Bell Station,Philadelphia,4
539,Bike,probably583,28.48,Arlington Transit Station,Berryessa Station,Durham,1
540,Bicycle,culture544,3.66,Sunset Road,Lake Merritt Station,Wichita,3
540,Bike,probably374,77.13,Downtown Wichita,Government Center,Albuquerque,5
540,Car,sport325,80.24,7th Street/Metro Center,Union Station,Oakland,4
541,Bike,half517,65.36,Milwaukee Intermodal Station,French Camp Station,Wichita,3
541,Bike,paper852,89.29,South Strip Transfer Terminal,Milwaukee Intermodal Station,New York,4
541,Car,side812,4.36,Downtown Transit Center,Crossroads Mall Station,Louisville,5
542,Bike,hot339,74.78,El Paso Streetcar,Nicollet Mall Station,Aurora,2
543,Bicycle,black461,49.98,Santa Clara Station,Durham Station,San Antonio,3
543,Bike,important278,24.92,Disneyland Resort,Denver Avenue Station,Chicago,4
543,Bike,realize232,26.95,Downtown Transit Center,Montebello/19th Ave,Tucson,1
544,Bike,method935,79.38,New Center,Green Valley Station,Mesa,3
544,Car,sort931,35.09,Fulton Mall,Downtown Transit Center,Denver,0
544,Car,star370,37.75,Gallery Place,West End Station,Houston,4
545,Bike,industry317,75.25,University Street Station,Millennium Station,Austin,3
545,Bike,peace145,25.95,Northland Transit Center,Alkali Flat/La Valentina,Aurora,4
545,Car,recently555,86.98,University of Arizona,Church Street Station,Raleigh,5
546,Bicycle,economic767,81.26,Downtown Transit Center,Civic Center Station,New Orleans,3
546,Bicycle,economic767,35.52,Charles Center Station,Highland Station,Mesa,1
546,Bicycle,effect321,77.4,Central Station,Downtown Station,Phoenix,1
546,Bike,off105,84.4,Union Station,Broad Street Line,Corpus Christi,1
546,Bike,provide514,25.11,Kings Avenue Station,Downtown Transit Center,Jacksonville,0
546,Car,standard800,95.03,Sahara Station,West 25th Street,Baltimore,2
546,Car,though502,20.28,Civic Center Station,Pepsi Center/Elitch Gardens,Portland,2
546,Car,war143,34.65,Montgomery Street Station,Central Station,San Antonio,5
547,Bicycle,east242,48.68,Columbus Commons,Admiral Boulevard,El Paso,4
548,Bike,material103,17.39,Montano Station,City College Station,Sacramento,4
548,Bike,morning281,23.02,Four Seasons Town Centre,Metro Center,St. Louis,1
548,Car,research189,56.41,Green Valley Station,Times Square,Denver,1
549,Bicycle,east242,34.87,Pearl Station,Aragona Village,San Francisco,0
549,Bike,management684,95.56,Johns Hopkins Hospital Station,Dimond Center,Detroit,1
549,Bike,prevent494,57.86,UK Campus Station,North Main Street,San Jose,0
549,Car,theory659,7.54,Sunset Road,Pioneer Square Station,Orlando,2
550,Bicycle,drug756,83.42,Capital Boulevard,Broadway Station,Greensboro,5
550,Bicycle,easy651,69.07,Civic Center Station,Delmar Station,Raleigh,0
550,Bike,land825,85.72,Central Station,Alston Avenue,Raleigh,2
550,Car,side812,85.83,Broadway Station,Suburban Station,Miami,2
550,Car,star370,5.02,Scaleybark Station,Grand Central,Wichita,4
550,Car,thank397,91.55,Downtown Transit Center,Milwaukee Intermodal Station,Seattle,0
551,Bicycle,build432,40.55,Lynx Central Station,Glory Road Transit Center,Honolulu,0
551,Car,sort931,94.02,Brickell Station,Downtown Transit Center,Charlotte,0
551,Car,various863,75.02,Country Club Station,Station Square,Corpus Christi,0
552,Bicycle,by498,8.34,Government Center,Meadow Woods,Arlington,1
552,Car,write753,34.85,Auraria West,Aragona Village,Houston,5
553,Bike,management684,84.57,Okeechobee Station,Union Station,Durham,5
553,Bike,might296,94.68,VIA Metro Center,Diridon Station,Henderson,4
554,Bicycle,art789,47.9,Peoria Station,Downtown Transit Center,Washington DC,2
554,Bicycle,course154,66.06,Eagle River,Anchorage Depot,Las Vegas,2
554,Bike,material103,44.84,Southpoint Mall,Sand Lake Road,Fort Worth,5
554,Car,state345,14.85,New Center,Cincinnati Union Terminal,Houston,4
554,Car,thing952,83.06,St. Charles Avenue,Tamien Station,Lexington,5
555,Bicycle,board485,66.88,Goose Hollow,Riverfront Transit Center,San Francisco,2
555,Bike,important278,3.88,Midtown Station,19th Street Station,Chicago,3
555,Bike,important278,38.91,Shrewsbury-Lansdowne I-44,St. Rose of Lima Park,Pittsburgh,0
555,Car,standard800,5.82,Sand Lake Road,Culver Drive Station,Baltimore,3
556,Bicycle,drug756,64.52,Denver Avenue Station,Midtown Station,Henderson,0
556,Car,those754,4.27,Woodlawn Station,Pepsi Center/Elitch Gardens,Anchorage,1
556,Car,throw562,35.03,Northland Transit Center,Alvarado Transportation Center,San Antonio,1
556,Car,while940,3.08,Eastside Terminal,Fountain Square Station,Tulsa,2
556,Car,world750,50.55,Cary Station,Montano Station,Austin,5
557,Bicycle,course154,90.22,Okeechobee Station,Pearlridge Station,Charlotte,1
557,Bicycle,eight904,60.74,Charles Center Station,HART Downtown Station,Louisville,1
557,Car,some938,6.5,19th Street Station,Okeechobee Station,Stockton,5
558,Bike,party933,57.76,Civic Center Station,Arlington Transit Station,Nashville,4
558,Car,those754,66.85,Peoria Station,US Bank Stadium,Dallas,5
559,Bicycle,boy521,7.72,Old Town Wichita,Hemming Park,Stockton,3
559,Bike,group442,7.52,Court House Station,South Strip Transfer Terminal,Honolulu,4
559,Bike,laugh199,54.13,Carondelet Street Station,Los Ranchos/Journal Center,Seattle,0
559,Car,seat130,24.69,South Station,Texas & Pacific Station,Tucson,0
559,Car,than685,14.38,Glory Road Transit Center,12th Street Station,Indianapolis,1
559,Car,treatment984,13.94,Westlake Station,Union Station,Nashville,3
560,Bicycle,build432,2.69,Union Avenue Station,Amtrak Station,Jacksonville,2
560,Bicycle,economic767,38.31,Lodi Station,19th Street Station,New Orleans,3
560,Car,relate578,49.77,Suburban Station,Moore Square Station,Anchorage,2
560,Car,teach269,45.17,Lynx Central Station,Mockingbird Station,Memphis,5
560,Car,treatment984,24.03,Texas & Pacific Station,Museum District,El Paso,3
561,Bicycle,court168,73.52,Green Valley Station,River Market,Baltimore,5
561,Bicycle,fine171,42.81,Newtown Road,Hamburg Pavilion,Anaheim,2
561,Bike,piece542,95.36,Cobo Center,Pearl Station,Sacramento,2
561,Bike,prevent494,81.16,Transit Center Station,Alston Avenue,Detroit,5
561,Car,success670,79.49,St. Rose of Lima Park,Lakeline Station,Mesa,0
561,Car,teach269,53.4,Broad Street Line,Quarry Market,San Francisco,4
562,Bicycle,campaign681,22.12,Glory Road Transit Center,Linden Station,Anaheim,2
562,Bicycle,form808,14.69,Crown Center,Rosemont Station,New York,1
562,Bike,group442,80.1,Ogilvie Transportation Center,Downtown Station,Atlanta,4
562,Car,still338,27.23,Jefferson/1st Ave,Ronstadt Transit Center,Tulsa,3
562,Car,teach269,93.71,Millard Station,Quarry Market,Honolulu,1
563,Bicycle,already175,71.39,Nine Mile Station,Donelson Station,Nashville,5
563,Bicycle,anyone997,21.64,Millard Station,Brundage Station,Pittsburgh,2
563,Bike,meet406,69.98,Tamien Station,East 55th Street,Washington DC,3
563,Bike,method877,49.57,South Strip Transfer Terminal,Four Seasons Town Centre,Tampa,1
563,Car,visit155,83.99,Back Bay Station,Museum District,Corpus Christi,2
564,Bike,himself386,40.2,Alkali Flat/La Valentina,Steel Plaza Station,Las Vegas,2
564,Bike,late274,87.12,Penn Station,Evans Station,Minneapolis,0
564,Car,visit419,68.88,Lynx Central Station,Five Points Station,Wichita,1
565,Car,reduce598,29.37,Farragut North,Lexington Market,Fresno,3
566,Bike,information808,8.86,West End Station,Central Station,Atlanta,0
566,Bike,population327,28.34,Capital Boulevard,Aurora Metro Center,El Paso,2
566,Bike,population327,98.23,Iliff Station,Tower District,San Diego,2
566,Car,wear591,79.23,Union Station,Donelson Station,Charlotte,5
567,Bicycle,every622,31.43,Lynx Central Station,Broadway Station,Anchorage,0
567,Bike,nation734,67.52,Crestview Station,Farragut North,Detroit,0
567,Bike,old687,42.96,East/West Boulevard,Victory Station,Dallas,2
567,Car,reveal311,94.31,Transit Center Station,Downtown Transit Center,Milwaukee,5
568,Bike,lose268,48.17,Pepsi Center/Elitch Gardens,Penn Station,Boston,0
569,Bicycle,argue857,80.69,Old Town Transit Center,Newtown Road,Indianapolis,1
569,Car,visit155,91.7,Crossroads Mall Station,Diridon Station,Stockton,5
570,Bicycle,citizen320,97.45,Museum District,Union Passenger Terminal,Washington DC,3
571,Bicycle,continue143,70.69,Main Street Square,Kern Station,Memphis,3
571,Bike,ground556,57.75,Virginia Avenue Station,Horizon Ridge,El Paso,0
571,Car,that455,43.7,Nine Mile Station,VIA Metro Center,Las Vegas,0
572,Bicycle,culture544,43.37,Downtown Station,Stockton Station,Lexington,2
572,Car,someone179,24.66,Union Station,Union Station,Kansas City,5
573,Bicycle,air341,24.93,Crestview Station,Texas & Pacific Station,San Jose,2
573,Car,single245,74.69,Santa Fe Depot,Arena District Station,Washington DC,3
573,Car,teach624,33.81,Denver Avenue Station,Target Field Station,Wichita,4
573,Car,that455,85.91,St. Rose of Lima Park,Country Club Station,Greensboro,2
574,Car,thing952,9.06,North Side Station,Parker Road Station,Phoenix,3
574,Car,world750,85.49,Preston Street Station,Delano Station,San Diego,5
575,Bicycle,east242,64.72,Powell Street Station,Back Bay Station,Anaheim,1
575,Car,sell214,40.84,Water Street,Montebello/19th Ave,Austin,1
576,Bike,main531,47.4,Eagle River,Montgomery Street Station,New York,3
576,Car,small592,15.32,Union Station,Military Highway,Philadelphia,0
576,Car,so711,25.26,Union Station,Eagle River,Denver,4
576,Car,style264,11.81,Donelson Station,Dobson Station,Las Vegas,3
577,Bicycle,bit862,82.36,Downtown Station,Cary Station,Colorado Springs,3
577,Bike,management684,47.41,Wood Street Station,Sunset Road,El Paso,2
577,Bike,off105,73.59,Cincinnati Union Terminal,Denver Avenue Station,Virginia Beach,2
577,Bike,particularly341,89.04,Anthem Parkway,Anaheim Canyon,San Jose,2
577,Car,some938,33.74,Charlotte Gateway Station,University Street Station,Irvine,3
577,Car,various863,26.83,Kern Station,El Paso Streetcar,Fort Worth,1
578,Bicycle,culture544,49.84,Ogilvie Transportation Center,GTA Depot,Houston,4
578,Bicycle,defense776,56.58,Crystal City Station,Carondelet Street Station,Denver,4
578,Bike,group442,65.89,Florida Station,Rosa Parks Station,Baltimore,2
579,Bicycle,build432,57.48,Transit Center Station,Donelson Station,Virginia Beach,0
581,Car,something123,66.2,Delano Station,Evans Station,Corpus Christi,1
581,Car,throw562,28.85,Times Square,Pepsi Center/Elitch Gardens,Philadelphia,2
581,Car,town838,29.33,13th Street Station,Water Street,Kansas City,3
582,Bike,method877,63.93,Kings Avenue Station,Evans Station,Denver,2
582,Car,success670,7.91,Preston Street Station,Okeechobee Station,Colorado Springs,5
583,Bicycle,able668,55.25,Delano Station,Union Station,Kansas City,5
583,Bicycle,boy521,98.97,Peachtree Center,Sunport Station,Seattle,5
583,Bicycle,boy521,92.62,Market East Station,Union Station,San Antonio,1
583,Bicycle,citizen320,79.26,Eastside Terminal,Los Ranchos/Journal Center,Anaheim,2
583,Bicycle,dark711,46.42,Sun Metro Terminal,Suburban Station,Fresno,1
583,Bicycle,form808,51.71,East 55th Street,Downtown Plano,Tucson,1
583,Car,war143,73.09,Penn Station,Hollywood/NE 42nd Ave,Anaheim,5
584,Bike,ground556,85.62,Shrewsbury-Lansdowne I-44,Berryessa Station,Portland,0
584,Bike,information808,85.56,Florida Station,Arena District Station,Nashville,4
584,Car,under336,68.69,Michigan Avenue Station,Government Center,Columbus,5
585,Car,world750,68.25,Ballston Metro Station,Main Street Square,Boston,5
586,Bicycle,attack869,5.11,Victory Station,City Market,Henderson,2
586,Bicycle,choose351,77.02,Lodi Station,Transit Center Station,Colorado Springs,1
586,Bike,important278,76.67,Lynx Central Station,Meadow Woods,Cleveland,2
586,Car,recently892,41.76,Sunset Road,Meadow Woods,Denver,1
586,Car,where592,73.14,Highland Avenue,Virginia Avenue Station,Sacramento,0
588,Bicycle,campaign681,10.6,Broadway Station,University Street Station,Albuquerque,2
588,Bike,major616,90.91,Montebello/19th Ave,Virginia Avenue Station,Omaha,2
588,Car,reduce598,7.81,Haymarket Station,South Strip Transfer Terminal,Charlotte,4
589,Bike,morning281,52.17,Suburban Station,Iliff Station,Anaheim,1
589,Car,specific544,50.54,Westlake Station,Auraria West,El Paso,5
589,Car,style264,88.77,Friendly Center,Downtown Station,Las Vegas,0
590,Bicycle,environment918,26.97,Crown Center,Moore Square Station,Tampa,2
590,Car,until703,83.99,Northland Transit Center,City Hall Station,Washington DC,1
591,Bike,new216,48.53,North Station,Bell Station,Cincinnati,4
591,Car,war143,64.26,Delmar Station,Goose Hollow,Denver,1
592,Bike,purpose417,27.14,Donelson Station,Hermitage Station,Baltimore,1
592,Car,while940,97.14,Court House Station,Duke University,Charlotte,3
593,Bike,peace145,99.03,Horizon Ridge,Citadel Mall,Boston,2
594,Bicycle,art789,18.66,Centro Ybor,Stockyards Station,Greensboro,1
594,Bike,local516,93.33,City College Station,Hermitage Station,Denver,2
594,Bike,main889,52.23,Brundage Station,Capitol Station,Orlando,3
595,Bike,onto719,57.58,Church Street Station,Victory Station,San Diego,3
595,Car,specific544,21.18,Downtown Transit Center,Stockton Station,Pittsburgh,4
595,Car,those754,61.02,Tulane Avenue,Westlake Station,Chicago,3
596,Bike,population327,68.42,Pepsi Center/Elitch Gardens,Penn Station,Lexington,5
596,Car,under336,9.82,Times Square,North Main Street,San Francisco,3
597,Bike,onto719,4.32,Music City Central,Delmar Station,Colorado Springs,2
598,Bicycle,court705,56.34,Centro Ybor,Tamien Station,Lexington,4
598,Bike,morning188,94.66,Stockyards Station,Suburban Station,Corpus Christi,5
598,Bike,probably374,72.81,Five Points Station,University of Arizona,Washington DC,0
598,Car,sister161,53.93,East 55th Street,19th Street Station,Boston,3
598,Car,so711,83.05,Riverfront Station,Union Station,Columbus,4
599,Bicycle,argue857,87.7,Montebello/19th Ave,Florida Station,New Orleans,3
599,Bicycle,develop248,33.87,Tower City Station,Civic Center,San Diego,2
599,Car,reveal311,74.71,Capitol Station,Johns Hopkins Hospital Station,Charlotte,2
599,Car,so711,23.41,Downtown Station,Encanto/Central Ave,Anaheim,3
600,Bicycle,black461,51.06,City College Station,Convention Center,New York,2
600,Bike,message730,11.59,Jefferson/1st Ave,Marion Transit Center,Fresno,1
600,Car,some938,61.99,Evans Station,Eagle River,Mesa,0
601,Car,writer502,18.41,GTA Depot,Millard Station,Columbus,1
602,Bike,play151,55.57,Sun Metro Terminal,Stockton Station,Memphis,0
603,Bike,industry317,52.41,Santa Fe Depot,Downtown Station,Anchorage,1
603,Bike,law117,34.39,Hamburg Pavilion,Civic Center Station,Tucson,4
603,Bike,method935,11.74,Farragut North,Victory Station,Plano,5
603,Car,small592,1.61,Downtown Station,Times Square,Corpus Christi,0
603,Car,style264,72.57,Iliff Station,Glory Road Transit Center,Detroit,0
604,Car,visit155,5.42,GTA Depot,Michigan Avenue Station,Cleveland,5
605,Bicycle,because502,63.54,Old Town Wichita,Diridon Station,Minneapolis,4
605,Bicycle,budget626,87.01,Quarry Market,Eastside Terminal,Aurora,2
605,Bike,interview220,45.69,Lake Merritt Station,Quarry Market,Oakland,3
605,Bike,out797,8.32,Pioneer Square Station,Music City Central,Corpus Christi,1
606,Bicycle,ball282,45.3,Sacramento Valley Station,Admiral Boulevard,Pittsburgh,4
606,Bicycle,dark711,24.65,Amtrak Station,Union Station,Irvine,5
606,Car,spend345,29.64,Old Town Wichita,Gateway Center,Irvine,3
607,Car,those754,75.15,Old Town Wichita,Sun Metro Terminal,Albuquerque,2
608,Bicycle,eight904,2.79,Fulton Street,Donelson Station,Austin,3
608,Bike,population327,35.22,Penn Station,Union Station,Baltimore,3
609,Bike,hear709,57.95,Intermodal Transportation Center,Tamien Station,Fresno,2
610,Car,small592,7.84,Encanto/Central Ave,Downtown Wichita,Memphis,2
611,Bike,lose268,88.49,7th Street/Metro Center,Brickell Station,Sacramento,3
611,Car,seat130,61.72,Staples Street Station,UNCG Station,Anchorage,3
611,Car,so711,6.04,Guthrie Green Station,Santa Fe Depot,Raleigh,0
611,Car,so711,12.2,Gaslamp Quarter,Four Seasons Town Centre,Memphis,3
612,Bicycle,across985,50.95,Grand Central,Downtown Anaheim,Fresno,3
612,Car,size977,36.35,Kern Station,West End Station,Greensboro,2
613,Bicycle,economic767,53.72,Downtown Wichita,Quarry Market,Tucson,0
613,Car,rock127,29.23,Main Street Square,Donelson Station,Raleigh,0
613,Car,some938,11.04,City College Station,Cary Station,Charlotte,1
613,Car,try871,1.07,Embarcadero Station,Water Street,Los Angeles,3
614,Bicycle,form808,45.7,Liberty Street,Downtown Station,Lexington,0
614,Bike,ground556,41.01,Cincinnati Union Terminal,Ogilvie Transportation Center,Lexington,3
614,Car,several464,55.4,Pepsi Center/Elitch Gardens,Suburban Station,Tucson,4
615,Car,visit419,1.56,Denver Avenue Station,Delmar Station,Cincinnati,5
616,Bike,old687,10.51,Quarry Market,Capitol Station,Omaha,3
617,Bicycle,black461,22.02,Civic Center Station,West End Station,Nashville,0
617,Bicycle,control593,16.37,Downtown Plano,Montebello/19th Ave,Memphis,1
617,Car,where592,39.45,Downtown Wichita,Downtown Station,Mesa,4
618,Bicycle,everybody737,68.83,Eagle River,Milwaukee Intermodal Station,Mesa,2
618,Bike,himself386,8.32,Museum District,Riverfront Station,Boston,3
618,Car,star370,36.43,Brundage Station,Alvarado Transportation Center,Portland,3
618,Car,teach624,21.97,West 25th Street,Fountain Square Station,El Paso,2
619,Bike,method935,32.8,UNCG Station,Moore Square Station,Virginia Beach,2
620,Car,so711,77.58,Donelson Station,Suburban Station,Virginia Beach,1
620,Car,trip382,92.57,Fruitvale Station,Disneyland Resort,Minneapolis,2
621,Bicycle,bring400,46.54,Five Points Station,Highland Station,Fort Worth,0
621,Bicycle,citizen320,4.8,Ala Moana Station,Convention Center,Honolulu,3
621,Bike,message730,76.02,Bonneville Transit Center,Union Station,El Paso,3
621,Bike,nation734,7.76,Berryessa Station,Linden Station,Portland,4
622,Car,than685,11.51,Virginia Avenue Station,Denver Avenue Station,Tampa,5
622,Car,whom371,4.05,Stockyards Station,Crystal City Station,Chicago,1
623,Bicycle,develop248,66.27,Gaslamp Quarter,Victory Station,Virginia Beach,4
623,Bike,nice365,24.24,Dimond Center,Country Club Station,San Antonio,2
623,Bike,nothing156,26.73,Cobo Center,Hollywood/NE 42nd Ave,San Jose,3
623,Bike,realize232,48.08,LaSalle Street,Nicollet Mall Station,Greensboro,0
623,Car,sister161,63.05,North Station,New Center,Stockton,2
623,Car,someone179,39.61,Powell Street Station,Friendly Center,Fresno,0
623,Car,tonight642,29.21,Station Square,US Bank Stadium,Washington DC,3
624,Bicycle,citizen320,17.82,Downtown Anaheim,Four Seasons Town Centre,Anaheim,1
624,Bike,group442,81.79,Airport Station,Aurora Metro Center,Honolulu,1
624,Bike,morning188,63.41,13th Street Station,City College Station,San Diego,4
625,Bicycle,doctor366,64.81,Admiral Boulevard,Metro Center,Charlotte,4
625,Bicycle,election652,57.78,Airport Station,Montano Station,Indianapolis,5
625,Bike,mission216,42.51,Lake Merritt Station,ARTIC Station,Atlanta,0
625,Bike,morning188,74.62,Horizon Ridge,Back Bay Station,Albuquerque,3
625,Car,until491,14.37,Lake Merritt Station,King Street Station,Portland,4
625,Car,why108,61.18,Sycamore/Main Street,Hemming Park,Boston,5
626,Bicycle,culture544,98.82,Market East Station,King Street Station,Austin,5
626,Bicycle,economic767,11.35,Fulton Mall,LaSalle Street,San Antonio,1
626,Bike,provide514,41.16,Bell Station,Highland Station,Kansas City,1
627,Bicycle,economic767,72.4,UNCG Station,Montano Station,Portland,3
627,Car,thing952,61.5,Florida Station,Lake Merritt Station,Chicago,3
628,Bike,provide514,92.39,Arlington Transit Station,Transit Center Station,Honolulu,4
628,Car,reduce598,40.85,Highland Station,Broadway Station,Minneapolis,4
628,Car,rock718,18.27,Downtown Wichita,Capital Boulevard,Cincinnati,4
628,Car,sell214,67.64,El Paso Streetcar,Pershing Square,Seattle,5
629,Bike,half517,54.19,Montebello/19th Ave,Nicollet Mall Station,Honolulu,1
629,Car,specific544,20.17,Marion Transit Center,El Paso Streetcar,Cincinnati,4
630,Bicycle,citizen320,30.54,Metro Center,GTA Depot,Honolulu,1
630,Bicycle,easy615,6.71,Water Street,Gateway Center,Louisville,0
630,Car,someone179,63.36,Disneyland Resort,Ogilvie Transportation Center,El Paso,5
